,CountryISO,AppName,AppID,AppRating,Usage,Platform
116,US,Audio guide - Ötzi,com.duvaworkshop.otziios,,Paid,Android
117,US,GalenaTours,,,Paid,Android
118,US,FlightInformationPro:Arrivals&Departures,,,Paid,Android
119,US,Flavortown,com.flavortownusa.mobile,3.8,Paid,Android
120,US,MXMariner-MarineCharts,,,Paid,Android
121,US,JerusalemwithOren,,,Paid,Android
122,US,OpenGardens2022,,,Paid,Android
123,US,Alhambra&GeneralifeGranada,,,Paid,Android
124,US,CaminodelNorte:AWisePilgrimGuide,,,Paid,Android
125,US,MR340ProPaddler,,,Paid,Android
126,US,AkrotiriAudioGuide|English,,,Paid,Android
127,US,PalmSpringsModernism,,,Paid,Android
128,US,Contourlinesplugin—OsmAnd,,,Paid,Android
129,US,LocaToWeb:RealTimeGPStrackr,,,Paid,Android
130,US,BestBikingRoads,,,Paid,Android
131,US,LeParcoursdelaChouette,,,Paid,Android
132,US,FloridaNationalandStateParks,,,Paid,Android
133,US,TheFlightTracker,,,Paid,Android
134,US,Discover Pompeii - Pompei Tour,com.discover.pompeii.free,4.8,Paid,Android
135,US,OregonRoadsTraffic&Cameras,,,Paid,Android
136,GB,Jet2-HolidaysandFlights,,,Free,Android
137,GB,RingGoParking:Park&Pay,,,Free,Android
138,GB,TUIHolidays&TravelApp,,,Free,Android
139,GB,easyJet:TravelApp,,,Free,Android
140,GB,Ryanair,com.ryanair.cheapflights,3.7,Free,Android
141,GB,VrboHolidayRentals,,,Free,Android
142,GB,"HolidayExtras:AirportParking,Hotels,Transfers",,,Free,Android
143,GB,WizzAir,,,Free,Android
144,GB,ParkPassNCP,,,Free,Android
145,GB,Hotels.com:BookHotels&More,,,Free,Android
146,GB,ApcoaConnect,,,Free,Android
147,GB,Railcard,com.raildeliverygroup.railcard,3.7,Free,Android
148,GB,TheAA,,,Free,Android
149,GB,Voi – e-scooters for hire,io.voiapp.voi,4.7,Free,Android
150,GB,YourParkingSpace-ParkingApp,,,Free,Android
151,GB,BritishAirways,,,Free,Android
152,GB,"Trip.com: Book Flights, Hotels",ctrip.english,3.9,Free,Android
153,GB,AltonTowersResort-Official,,,Free,Android
154,GB,FlixBus-BusTravelinEurope,,,Free,Android
155,GB,Jet2.com-FlightsApp,,,Free,Android
156,GB,GetYourGuide:Tours&Tickets,,,Free,Android
157,GB,PostOfficeTravel,,,Free,Android
158,GB,TIERElectricscooters&bikes,,,Free,Android
159,GB,ArrivaUKBus,,,Free,Android
160,GB,PlanesLive-FlightTracker,,,Free,Android
161,GB,Opodo:CheapFlights&Hotels,,,Free,Android
162,GB,TfLOysterandcontactless,,,Free,Android
163,GB,loveholidays - My bookings,com.loveholidays,4.9,Free,Android
164,GB,MyRAC,,,Free,Android
165,GB,MyHavenExperience,,,Free,Android
166,GB,LiveFlightTracker,,,Free,Android
167,GB,GreenFlag,,,Free,Android
168,GB,SykesHolidayCottages,,,Free,Android
169,GB,VacationCountdownApp,,,Free,Android
170,GB,THORPEPARKResort–Official,,,Free,Android
171,GB,Omio: Europe & U.S. Travel App,com.goeuro.rosie,4.6,Free,Android
172,GB,LiveStreetViewMapHD,,,Free,Android
173,GB,RandoxCertiFly,,,Free,Android
174,GB,Kiwi.com: cheap flights,com.skypicker.main,4.2,Free,Android
175,GB,park4night - Motorhome camper,fr.tramb.park4night,4.8,Free,Android
176,GB,PremierInnHotels,,,Free,Android
177,GB,BPBeGuide,,,Free,Android
178,GB,ChessingtonResort,,,Free,Android
179,GB,Dott,com.ridedott.rider,4.7,Free,Android
180,GB,TUIfly–Cheapflighttickets,,,Free,Android
181,GB,Beryl-RideSharing,,,Free,Android
182,GB,BLUEApp,,,Free,Android
183,GB,eDreams:Bookflights&hotels,,,Free,Android
184,GB,QatarAirways,,,Free,Android
185,GB,EurostarTrains,,,Free,Android
186,GB,Seatfrog: Upgrades & tickets,au.com.seatfrog.icarus,3.7,Free,Android
187,GB,NationalTrust-DaysOutApp,,,Free,Android
188,GB,"lastminute.com-Holidays,Flight&HotelDeals",,,Free,Android
189,GB,FirstChoiceHolidaysApp,,,Free,Android
190,GB,PassWallet-mobilepasses,,,Free,Android
191,GB,GlasGoCabs,,,Free,Android
192,GB,KLM,,,Free,Android
193,GB,Mytrip,com.etraveli.mytrip.android,4.5,Free,Android
194,GB,AerLingusApp,,,Free,Android
195,GB,Outdooractive:HikingOSmaps,,,Free,Android
196,GB,MyBMW,,,Free,Android
197,GB,VirginAtlantic,,,Free,Android
198,GB,MyNextbaseConnect,,,Free,Android
199,GB,GlasgowTaxis,,,Free,Android
200,GB,DBNavigator,,,Free,Android
201,GB,OntheBeach,,,Free,Android
202,GB,NXBusmTicket,,,Free,Android
203,GB,RIUHotels&Resorts-RIUguestinfo,,,Free,Android
204,GB,HomeToGo:HolidayLettings,,,Free,Android
205,GB,Vueling-CheapFlights,,,Free,Android
206,GB,TfWM-PoweredbySwift,,,Free,Android
207,GB,TurkishAirlinesFlightticket,,,Free,Android
208,GB,Cheapflights: Flights & Hotels,com.cf.flightsearch,4.3,Free,Android
209,GB,LlwybrauYrWyddfa|SnowdonWalks,,,Paid,Android
210,GB,Enviroute_NEW,,,Paid,Android
211,GB,My Tide Times - Tables & Chart,com.jrustonapps.mytidetimes,4.7,Paid,Android
212,GB,Archiescampings,jahdroid.archies,3.6,Paid,Android
213,GB,FreePoint2,,,Paid,Android
214,GB,SchengenPlanner,,,Paid,Android
215,GB,GreaterLondonA-ZStreetMap,,,Paid,Android
216,GB,BanksyBristolTrail,,,Paid,Android
217,GB,WildGuideWales,,,Paid,Android
218,GB,BeerGuideLondon,,,Paid,Android
219,GB,Trakų istorijos muziejus,lt.trakaimuziejus.app,,Paid,Android
220,GB,TripView,,,Paid,Android
